"query","search interest","increase percent"
"cafe dubai",100,"-7%"
"restaurant near me",72,"30%"
"near me restaurant",72,"30%"
"cafe restaurant near me",71,"20%"
"shisha cafe near me",61,"-20%"
"shisha cafe",59,"-30%"
"shisha near me",53,"-30%"
"cafe near to me",33,"-3%"
"restaurants near me",33,"-10%"
"restaurants",32,"-20%"
"best cafe near me",27,"20%"
"coffee",27,"-6%"
"coffee cafe near me",27,"-5%"
"coffee near me",27,"-8%"
"cafe shop near me",24,"-20%"
"filli cafe near me",23,"-50%"
"filli",23,"-50%"
"filli cafe",23,"-50%"
"filli near me",23,"-50%"
"mall near me",23,"-9%"
"cafeteria near me",23,"-2%"
"tea near me",18,"-9%"
"tea cafe near me",18,"-7%"
"cafes near me",18,"1%"
"breakfast near me",17,"7%"
"breakfast cafe near me",17,"9%"
"open cafe near me",16,"-10%"
"cafe open near me",16,"-10%"
"food near me",14,"-10%"
"internet cafe near me",13,"-80%"
"internet cafe",13,"-80%"
"cafe and restaurant near me",12,"30%"
"cafe near me now",10,"-20%"
"coffee shop near me",10,"-7%"
"beach near me",9,"20%"
"beach cafe near me",9,"20%"
"hotel near me",9,"-40%"
"sheesha cafe near me",9,"-30%"
"sheesha near me",9,"-30%"
"indian cafe near me",8,"6%"
"cafe near me open now",8,"7%"
"bar near me",8,"-20%"
"gaming cafe near me",8,"-50%"
"lims cafe",7,"250%"
"lims cafe near me",7,"200%"
"shawarma cafe",7,"80%"
"shawarma near me",7,"60%"
"cat cafe near me",7,"200%"
"cat cafe",7,"180%"
"starbucks",6,"-20%"
