"Time","cafe near me","coffee shop"
"2021-02-01",31,58
"2021-03-01",33,65
"2021-04-01",34,53
"2021-05-01",37,60
"2021-06-01",40,55
"2021-07-01",48,65
"2021-08-01",41,60
"2021-09-01",40,57
"2021-10-01",41,56
"2021-11-01",42,55
"2021-12-01",44,58
"2022-01-01",45,62
"2022-02-01",42,62
"2022-03-01",42,63
"2022-04-01",36,55
"2022-05-01",44,57
"2022-06-01",44,61
"2022-07-01",45,65
"2022-08-01",45,64
"2022-09-01",42,60
"2022-10-01",40,57
"2022-11-01",40,52
"2022-12-01",47,57
"2023-01-01",45,64
"2023-02-01",42,60
"2023-03-01",42,57
"2023-04-01",41,57
"2023-05-01",45,58
"2023-06-01",51,72
"2023-07-01",51,63
"2023-08-01",49,61
"2023-09-01",47,60
"2023-10-01",45,56
"2023-11-01",43,56
"2023-12-01",56,64
"2024-01-01",47,66
"2024-02-01",42,69
"2024-03-01",43,61
"2024-04-01",45,60
"2024-05-01",42,59
"2024-06-01",56,65
"2024-07-01",52,69
"2024-08-01",55,68
"2024-09-01",49,68
"2024-10-01",49,64
"2024-11-01",47,66
"2024-12-01",53,70
"2025-01-01",47,68
"2025-02-01",47,67
"2025-03-01",46,65
"2025-04-01",48,68
"2025-05-01",43,61
"2025-06-01",50,67
"2025-07-01",52,86
"2025-08-01",48,96
"2025-09-01",49,92
"2025-10-01",43,85
"2025-11-01",45,100
"2025-12-01",52,95
"2026-01-01",52,97
