"query","search interest","increase percent"
"roasters specialty coffee house",79,"Breakout"
"trio specialty coffee",13,"Breakout"
"proof specialty coffee",2,"Breakout"
"specialty coffee amsterdam",1,"Breakout"
"what is speciality coffee",1,"Breakout"
"specialty coffee roasters",99,"600%"
"roasters",100,"600%"
"specialty coffee shops near me",3,"80%"
"20 grams specialty coffee",3,"80%"
"specialty coffee near me",22,"30%"
"cafe near me",3,"20%"
"coffee shop near me",2,"4%"
"v60 coffee",5,"-5%"
"sca",3,"-9%"
"coffee shops near me",2,"-10%"
"cafe",42,"-20%"
"specialty coffee uae",19,"-20%"
"what is specialty coffee",22,"-20%"
"dubai specialty coffee",85,"-30%"
"specialty coffee dubai",85,"-30%"
"speciality coffee",15,"-30%"
"specialty coffee meaning",10,"-40%"
"coffee shop",21,"-40%"
"instant specialty coffee",1,"-40%"
"specialty coffee association",8,"-50%"
"elixir specialty coffee",2,"-50%"
"oz specialty coffee",3,"-50%"
"specialty coffee beans",13,"-60%"
"raw coffee",1,"-80%"
