"query","search interest","increase percent"
"roasters",100,"600%"
"specialty coffee roasters",99,"600%"
"specialty coffee dubai",85,"-30%"
"dubai specialty coffee",85,"-30%"
"roasters specialty coffee house",79,"Breakout"
"cafe",42,"-20%"
"what is specialty coffee",22,"-20%"
"specialty coffee near me",22,"30%"
"coffee shop",21,"-40%"
"specialty coffee uae",19,"-20%"
"speciality coffee",15,"-30%"
"specialty coffee beans",13,"-60%"
"trio specialty coffee",13,"Breakout"
"specialty coffee meaning",10,"-40%"
"specialty coffee association",8,"-50%"
"v60 coffee",5,"-5%"
"cafe near me",3,"20%"
"specialty coffee shops near me",3,"80%"
"sca",3,"-9%"
"20 grams specialty coffee",3,"80%"
"oz specialty coffee",3,"-50%"
"proof specialty coffee",2,"Breakout"
"coffee shop near me",2,"4%"
"coffee shops near me",2,"-10%"
"elixir specialty coffee",2,"-50%"
"instant specialty coffee",1,"-40%"
"specialty coffee amsterdam",1,"Breakout"
"what is speciality coffee",1,"Breakout"
"raw coffee",1,"-80%"
