"Time","matcha latte","cold brew"
"2021-02-01",26,49
"2021-03-01",17,76
"2021-04-01",23,56
"2021-05-01",27,68
"2021-06-01",19,78
"2021-07-01",23,82
"2021-08-01",28,72
"2021-09-01",28,79
"2021-10-01",19,53
"2021-11-01",28,44
"2021-12-01",20,51
"2022-01-01",22,50
"2022-02-01",23,55
"2022-03-01",20,52
"2022-04-01",30,77
"2022-05-01",29,87
"2022-06-01",32,70
"2022-07-01",32,74
"2022-08-01",33,78
"2022-09-01",34,73
"2022-10-01",31,61
"2022-11-01",25,56
"2022-12-01",25,40
"2023-01-01",38,52
"2023-02-01",37,57
"2023-03-01",44,51
"2023-04-01",43,68
"2023-05-01",45,54
"2023-06-01",48,67
"2023-07-01",69,68
"2023-08-01",62,61
"2023-09-01",47,66
"2023-10-01",33,51
"2023-11-01",35,46
"2023-12-01",39,48
"2024-01-01",40,48
"2024-02-01",37,47
"2024-03-01",40,40
"2024-04-01",47,49
"2024-05-01",41,54
"2024-06-01",56,56
"2024-07-01",64,55
"2024-08-01",83,69
"2024-09-01",77,62
"2024-10-01",67,70
"2024-11-01",53,61
"2024-12-01",44,50
"2025-01-01",58,57
"2025-02-01",71,44
"2025-03-01",66,49
"2025-04-01",62,71
"2025-05-01",65,51
"2025-06-01",79,65
"2025-07-01",73,69
"2025-08-01",70,69
"2025-09-01",55,64
"2025-10-01",60,62
"2025-11-01",52,62
"2025-12-01",57,79
"2026-01-01",59,81
