"query","search interest","increase percent"
"matcha iced latte",100,"30%"
"iced matcha",99,"30%"
"iced matcha latte",99,"40%"
"matcha starbucks",97,"-20%"
"matcha latte starbucks",97,"-20%"
"starbucks",96,"-10%"
"starbucks matcha",96,"-10%"
"starbucks matcha latte",96,"-10%"
"matcha calories",93,"100%"
"matcha latte calories",92,"90%"
"how to make matcha",52,"-20%"
"how to make matcha latte",51,"-10%"
"matcha latte coffee",41,"30%"
"matcha latte recipe",38,"-40%"
"matcha recipe",38,"-40%"
"matcha tea latte",37,"-70%"
"matcha tea",35,"-70%"
"matcha latte powder",33,"-30%"
"matcha powder",32,"-10%"
"calories in matcha latte",32,"90%"
"starbucks matcha latte calories",28,"30%"
"what is matcha latte",28,"30%"
"matcha latte starbucks calories",28,"30%"
"what is matcha",27,"50%"
"iced matcha latte starbucks",27,"2%"
"what is latte",27,"70%"
"starbucks iced matcha latte",26,"-20%"
"coconut milk",25,"160%"
"iced matcha latte calories",23,"190%"
"matcha benefits",20,"-30%"
"matcha latte benefits",20,"-40%"
"hot matcha latte",19,"50%"
"matcha latte caffeine",18,"80%"
"vanilla matcha latte",17,"140%"
"matcha ice latte",15,"70%"
"how many calories in matcha latte",15,"30%"
"ice matcha latte",14,"60%"
"how to make iced matcha latte",13,"20%"
"matcha green tea latte",13,"-80%"
"matcha green tea",13,"-80%"
"how to make matcha latte iced",13,"-20%"
"mocha",12,"50%"
"strawberry matcha latte",12,"Breakout"
"spanish latte",11,"-8%"
"cold matcha latte",11,"Breakout"
"matcha latte near me",11,"140%"
"starbucks iced matcha latte calories",10,"Breakout"
"iced matcha latte starbucks calories",10,"100%"
"iced matcha latte recipe",10,"-40%"
"how to make a matcha latte",8,"40%"
