area,total_cafes,avg_rating,median_rating,std_rating,avg_reviews,total_reviews,avg_price,median_price,premium_count,budget_count,avg_sentiment,avg_positive_ratio,avg_parking,avg_engagement,avg_location_attract,avg_competitors_500m,avg_footfall,avg_tourist_index,avg_pop_density,avg_rent,avg_utility_cost,premium_vs_budget_ratio,review_share,cafe_share,saturation_index,competitor_density_norm,demand_score,competition_intensity,price_level_index,reputation_strength,pct_growing,avg_momentum,growth_momentum,market_balance,barrier_to_entry,market_positioning,strengths,risks
Al Barsha,7,4.642857142857143,4.8,0.2878491668515695,776.8571428571429,5438,2.0,2.0,0,0,0.496,0.7285714285714285,1.7142857142857142,399.9428571428571,0.8275464285569466,1.4285714285714286,33.10142857142857,82.75571428571428,2678.7117047991073,130.0,1479.6485714285716,0.0,0.009649799923695955,0.02005730659025788,2.0785204614455637,0.03583373148500656,0.28802058501887023,0.05715690947852044,0.08333333333333326,0.5848412177985952,0.5714285714285714,1.5,0.5357142857142857,0.5606290780895506,0.5306579578139983,Balanced Market,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk
Al Quoz,15,4.546666666666667,4.5,0.22949219304077995,640.4666666666667,9607,2.0,2.0,0,0,0.5967373737373738,0.8200000000000001,1.2,410.5833333333333,0.7704733333198501,1.6,30.818666666666665,77.048,2980.139339192708,110.0,1377.6033333333332,0.0,0.01704774326350626,0.04297994269340974,2.52115145266271,0.04013377926320735,0.3477303045377085,0.09820458437527035,0.08333333333333326,0.6027378622288462,0.6,1.6166666666666667,0.585,0.5847020329401496,0.4478537472035794,Emerging Opportunity,High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk
Al Wasl,10,4.1899999999999995,4.55,1.1445037740824138,1957.1,19571,2.1,2.0,1,0,0.6487545454545455,0.8400000000000001,2.3,1432.4719841269841,0.9699999999830251,4.4,38.8,97.0,3280.7705810546877,140.0,1734.36,1.0,0.034728987551793586,0.02865329512893983,0.825054144933172,0.11036789297382021,0.6183597911765569,0.08528630707278588,0.17500000000000002,0.39706409090909095,0.8,2.0,0.8,0.6845171683254166,0.6575,Emerging Opportunity,High consumer demand; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Relatively low risk profile
Bur Dubai,1,4.8,4.8,,18784.0,18784,2.0,2.0,0,0,0.9302857142857143,1.0,1.0,18784.0,0.9999999999825,1.0,40.0,100.0,3353.56689453125,85.0,1788.0,0.0,0.033332446076996106,0.0028653295128939827,0.0859621735013155,0.025083612039504592,0.659827330884147,0.00877926421404682,0.08333333333333326,0.9756,1.0,2.0,0.8999999999999999,0.8538647497559397,0.5700000000000001,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Relatively low risk profile
Business Bay,14,4.635714285714286,4.65,0.25300393082122064,857.7857142857143,12009,2.0,2.0,0,0,0.5848938775510204,0.8071428571428572,1.5714285714285714,464.75595238095235,0.9346999999836427,2.7142857142857144,37.38857142857143,93.46857142857142,3329.1883544921875,180.0,1671.25,0.0,0.02131012270755144,0.04011461318051576,1.8824205628013948,0.06808408982151247,0.5817876777789318,0.097789230110608,0.08333333333333326,0.6505559484777522,0.5714285714285714,1.4107142857142858,0.5089285714285714,0.6610752836762388,0.7110276845637584,Emerging Opportunity,Strong area reputation; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; High rent & utility costs
City Walk,11,4.654545454545455,4.6,0.20670576365276486,2303.090909090909,25334,2.5,2.5,3,0,0.9140147186147186,0.9636363636363636,2.3636363636363638,358.35508658008655,0.9999999999825,6.909090909090909,40.0,100.0,3314.7278275923295,240.0,1788.0,3.0,0.044955504094687994,0.03151862464183381,0.701107134188672,0.17330495590930448,0.6694934482054465,0.11064224173318281,0.5416666666666666,0.8563433035270746,0.9090909090909091,2.196969696969697,0.9136363636363636,0.8106580798712982,0.88,Emerging Opportunity,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,High rent & utility costs
D3 Design District,6,4.416666666666667,4.4,0.2562550812504346,1125.8333333333333,6755,2.0,2.0,0,0,0.8019075757575758,0.9333333333333332,2.1666666666666665,239.725,0.7904833333194997,4.666666666666667,31.62,79.04666666666667,3297.1923828125,180.0,1413.39,0.0,0.01198683311595553,0.017191977077363897,1.4342384607390473,0.11705685618435478,0.44721474931647903,0.07533703722890492,0.08333333333333326,0.6459681979632392,1.0,2.3333333333333335,1.0,0.7168845425461892,0.6028649328859061,Emerging Opportunity,Growing market momentum; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Market oversaturation risk
DIFC,15,4.546666666666667,4.6,0.29487689118067706,729.4666666666667,10942,3.0,3.0,14,0,0.6594369408369408,0.8200000000000001,1.3333333333333333,66.51923002350246,0.933333333317,12.866666666666667,37.333333333333336,93.33333333333333,3326.7681966145833,220.0,1668.8,14.0,0.019416717683906057,0.04297994269340974,2.213553464241515,0.32274247490829244,0.5765983764948692,0.1943468667240515,1.0,0.6246827107136947,0.6,1.7833333333333334,0.635,0.6551592572349303,0.79,Emerging Opportunity,Growing market momentum; High foot traffic zone; Tourist-heavy traffic,Market oversaturation risk; High rent & utility costs; Premium-skewed
Deira,7,4.5285714285714285,4.6,0.26903708365381973,1110.142857142857,7771,2.0,2.0,0,0,0.5265714285714286,0.7142857142857143,2.5714285714285716,646.7857142857143,0.9999999999825,1.1428571428571428,40.0,100.0,3298.6111188616073,90.0,1788.0,0.0,0.013789737993203616,0.02005730659025788,1.4545096215855071,0.02866698518800525,0.6080444625425037,0.04902762406647634,0.08333333333333326,0.5134569086651055,0.5714285714285714,1.2857142857142858,0.4714285714285714,0.6475357518919926,0.5800000000000001,Emerging Opportunity,High consumer demand; High foot traffic zone; Tourist-heavy traffic; Good parking availability,Market oversaturation risk
Downtown Dubai,51,4.672549019607843,4.7,0.22722537831197379,2431.1176470588234,123987,2.0784313725490198,2.0,4,0,0.764311107519931,0.888235294117647,1.5294117647058822,98.20886011228606,0.9607843137086766,30.568627450980394,38.431372549019606,96.07843137254902,3345.4057329963234,250.0,1717.8823529411766,4.0,0.22001650296787245,0.14613180515759314,0.6641856551048436,0.7667715915605424,0.9675632883077745,0.4958007630991202,0.15522875816993473,0.7780521213188936,0.7647058823529411,1.8692810457516338,0.7431372549019606,0.7689348353771118,0.8705882352941177,High-Growth Corridor,High consumer demand; Strong area reputation; Growing market momentum; High foot traffic zone; Tourist-heavy traffic,High rent & utility costs; Premium-skewed
