cell_id,lat_cell,lng_cell,cafes,avg_rating,share_high,avg_sentiment
"21.29,-157.844",21.29,-157.844,1,3.9,0.0,
"24.461,54.349",24.461,54.349,1,4.6,1.0,
"24.472,54.379",24.472,54.379,1,4.9,1.0,
"24.817,55.092",24.817,55.092,1,4.3,0.0,
"24.818,54.982",24.818,54.982,1,3.6,0.0,
"24.891,55.433",24.891,55.433,1,4.2,1.0,0.3263894088669951
"24.915,54.961",24.915,54.961,1,4.3,0.0,0.5025991762866763
"24.917,55.008",24.917,55.008,1,4.6,0.0,
"24.92,55.007",24.92,55.007,2,4.6,0.0,0.4075216015466015
"24.947,55.226",24.947,55.226,1,4.6,0.0,
"24.959,55.154",24.959,55.154,1,4.4,0.0,0.4589051587301587
"24.971,55.185",24.971,55.185,1,4.5,0.0,
"24.978,55.161",24.978,55.161,1,4.7,0.0,
"24.981,55.093",24.981,55.093,1,3.9,0.0,
"24.982,55.176",24.982,55.176,1,5.0,0.0,
"24.985,55.176",24.985,55.176,1,4.7,0.0,0.448184126984127
"24.987,55.091",24.987,55.091,1,5.0,0.0,
"24.989,55.159",24.989,55.159,1,4.8,0.0,0.3786895437895438
"25.0,55.168",25.0,55.168,1,4.7,0.0,
"25.002,55.253",25.002,55.253,1,4.7,1.0,0.3892342923280423
"25.003,55.161",25.003,55.161,1,5.0,0.0,
"25.003,55.167",25.003,55.167,1,4.6,0.0,
"25.004,55.163",25.004,55.163,1,4.8,1.0,0.3650757575757576
"25.004,55.164",25.004,55.164,1,4.8,1.0,0.45594542093008
"25.004,55.165",25.004,55.165,2,4.35,0.0,0.3413755411255411
"25.004,55.17",25.004,55.17,1,4.8,1.0,0.4644426406926406
"25.004,55.296",25.004,55.296,1,4.7,1.0,0.4901878478664193
"25.005,55.165",25.005,55.165,1,4.9,0.0,0.4707633685758686
"25.005,55.291",25.005,55.291,1,4.8,1.0,0.4177206034706034
"25.006,55.292",25.006,55.292,1,4.9,0.0,0.2373928571428571
"25.008,55.137",25.008,55.137,1,4.4,0.0,0.3755353535353535
"25.008,55.157",25.008,55.157,1,4.2,0.0,0.2226851851851851
"25.012,55.16",25.012,55.16,1,4.2,0.0,
"25.015,55.193",25.015,55.193,2,4.1,0.0,
"25.017,55.247",25.017,55.247,1,4.8,1.0,0.4677921724245253
"25.018,55.141",25.018,55.141,1,4.9,0.0,0.496765639589169
"25.018,55.247",25.018,55.247,1,4.8,0.0,
"25.019,55.246",25.019,55.246,2,4.75,0.5,0.5040393041917433
"25.019,55.253",25.019,55.253,1,5.0,0.0,0.7309457671957672
"25.021,55.149",25.021,55.149,1,4.8,0.0,
"25.021,55.153",25.021,55.153,1,4.0,0.0,
"25.021,55.2",25.021,55.2,1,4.5,0.0,0.3700839218651718
"25.022,55.13",25.022,55.13,1,4.4,0.0,
"25.022,55.131",25.022,55.131,1,5.0,0.0,
"25.025,55.139",25.025,55.139,1,4.8,0.0,0.4147548057101629
"25.025,55.153",25.025,55.153,3,4.466666666666667,0.0,0.30117189754689755
"25.026,55.153",25.026,55.153,1,4.5,1.0,0.3909457839001585
"25.026,55.183",25.026,55.183,1,4.6,0.0,0.5040734126984127
"25.027,55.267",25.027,55.267,1,4.4,1.0,0.3700767195767195
"25.028,55.108",25.028,55.108,1,4.8,1.0,0.4716993145743146
"25.028,55.181",25.028,55.181,1,4.5,0.0,0.4110396825396825
"25.028,55.207",25.028,55.207,1,4.7,0.0,0.6258452380952381
"25.028,55.237",25.028,55.237,1,4.3,0.0,0.3992090136054422
"25.028,55.275",25.028,55.275,2,4.4,0.5,0.3162603549432593
"25.028,55.276",25.028,55.276,2,4.199999999999999,0.0,
"25.029,55.207",25.029,55.207,1,3.5,0.0,
"25.03,55.152",25.03,55.152,1,4.5,0.0,
"25.03,55.27",25.03,55.27,2,4.35,0.5,0.2639305325987144
"25.03,55.271",25.03,55.271,3,4.6000000000000005,1.0,0.4222457939987701
"25.031,55.218",25.031,55.218,2,4.1,0.0,0.28599261377198404
"25.031,55.239",25.031,55.239,1,5.0,1.0,0.5296091269841271
"25.031,55.271",25.031,55.271,1,3.8,0.0,
"25.032,55.14",25.032,55.14,1,3.5,0.0,0.1243988095238095
"25.032,55.223",25.032,55.223,1,4.5,0.0,
"25.032,55.232",25.032,55.232,1,4.7,0.0,0.3515392156862745
"25.033,55.149",25.033,55.149,1,3.2,0.0,0.053549062049062
"25.034,55.118",25.034,55.118,1,4.2,1.0,0.2165302295918367
"25.034,55.29",25.034,55.29,1,5.0,0.0,
"25.035,55.146",25.035,55.146,3,3.9333333333333336,0.0,0.4113934573363145
"25.035,55.147",25.035,55.147,5,4.32,0.4,0.34795373732344864
"25.035,55.148",25.035,55.148,1,3.4,0.0,0.0125518127705627
"25.036,55.222",25.036,55.222,1,4.4,0.0,
"25.036,55.223",25.036,55.223,2,4.550000000000001,1.0,0.38937363349369924
"25.037,55.191",25.037,55.191,1,4.9,0.0,0.5746186974789916
"25.037,55.222",25.037,55.222,2,4.9,0.0,0.40928027511509657
"25.037,55.223",25.037,55.223,1,4.2,0.0,0.4132709160052911
"25.037,55.225",25.037,55.225,1,4.9,1.0,0.325171674134832
"25.037,55.227",25.037,55.227,1,4.2,0.0,0.0560780423280423
"25.038,55.141",25.038,55.141,1,3.8,0.0,-0.2203333333333333
"25.038,55.186",25.038,55.186,1,4.8,1.0,0.3885562550875051
"25.038,55.219",25.038,55.219,1,4.8,1.0,0.435558231120731
"25.038,55.222",25.038,55.222,2,4.1,1.0,0.21036439393939393
"25.038,55.226",25.038,55.226,5,4.76,0.2,0.4473986585643029
"25.038,55.227",25.038,55.227,2,4.35,0.0,0.3235782517636684
"25.038,55.253",25.038,55.253,1,4.1,0.0,
